"reactome_stId_number.raw: Descending",Count
5689880,"4,385"
5654700,"4,367"
74182,"4,355"
5627123,"4,350"
156711,"4,346"
5607764,"4,346"
390918,"4,341"
5693565,"4,331"
2122947,"4,329"
72306,"4,323"
211733,"4,322"
69231,"4,314"
69236,"4,314"
379724,"4,313"
8956321,"4,313"
5685942,"4,307"
5693607,"4,299"
2892247,"4,285"
114452,"4,283"
5637815,"4,265"
5368286,"4,262"
163841,"4,251"
381753,"4,250"
1234158,"4,240"
3560782,"4,223"
8852276,"4,209"
5674135,"4,206"
8941856,"4,202"
6802948,"4,195"
5654696,"4,192"
75944,"4,191"
9012546,"4,190"
5660668,"4,178"
448706,"4,161"
8951430,"4,155"
76009,"4,141"
442755,"4,136"
6802955,"4,131"
8847993,"4,120"
6807505,"4,115"
8852135,"4,106"
168142,"4,104"
389661,"4,096"
427389,"4,095"
5083635,"4,093"
2168880,"4,091"
68949,"4,087"
204005,"4,085"
3214842,"4,079"
2122948,"4,078"
5637812,"4,077"
975871,"4,044"
429914,"4,043"
8856825,"4,036"
5676590,"4,018"
174143,"4,014"
5250913,"4,012"
111997,"4,005"
2564830,"4,004"
211897,"4,000"
141405,"3,995"
499943,"3,993"
6790901,"3,988"
437239,"3,986"
6802946,"3,975"
5578775,"3,967"
6804754,"3,958"
5682910,"3,944"
6803204,"3,934"
5663084,"3,925"
8956320,"3,910"
5358346,"3,908"
5675221,"3,906"
174178,"3,905"
427359,"3,903"
450282,"3,900"
881907,"3,896"
6802953,"3,890"
69488,"3,890"
112313,"3,884"
2428928,"3,883"
171306,"3,874"
187577,"3,872"
3769402,"3,860"
1296072,"3,858"
8949215,"3,858"
73856,"3,856"
8854518,"3,856"
8943724,"3,856"
9033241,"3,842"
109688,"3,831"
210991,"3,831"
8949613,"3,829"
5250924,"3,828"
176974,"3,827"
8873719,"3,826"
73929,"3,824"
5339562,"3,816"
4086398,"3,814"
4411364,"3,803"
8856688,"3,799"
983695,"3,798"
380972,"3,796"
9020702,"3,793"
421837,"3,787"
2672351,"3,784"
167160,"3,777"
140342,"3,770"
140875,"3,765"
5627117,"3,761"
3214858,"3,759"
5676594,"3,754"
2173789,"3,748"
5576892,"3,747"
5205685,"3,741"
912526,"3,724"
6811434,"3,722"
2243919,"3,708"
418597,"3,707"
1236978,"3,706"
8941333,"3,700"
381038,"3,698"
5579029,"3,690"
5620912,"3,675"
983189,"3,667"
209776,"3,664"
948021,"3,658"
194441,"3,653"
69656,"3,648"
168253,"3,641"
174113,"3,634"
450408,"3,632"
69052,"3,632"
211227,"3,628"
3928662,"3,620"
9018678,"3,618"
75158,"3,615"
2046104,"3,613"
6800171,"3,604"
111448,"3,594"
190872,"3,592"
420499,"3,592"
430116,"3,590"
1250196,"3,569"
168138,"3,563"
5663213,"3,558"
140837,"3,552"
5653890,"3,550"
168181,"3,542"
397795,"3,538"
111447,"3,531"
9013508,"3,530"
8963899,"3,521"
6803205,"3,517"
2565942,"3,507"
6804757,"3,506"
375280,"3,504"
75067,"3,501"
5684264,"3,486"
380320,"3,485"
5662702,"3,470"
6804114,"3,468"
189200,"3,465"
1368071,"3,464"
5693616,"3,463"
5173214,"3,440"
70221,"3,440"
977443,"3,436"
174084,"3,431"
8939236,"3,430"
