reactome_stId_number.raw: Descending,Count
2160456,"3,780"
5638302,"3,777"
5625970,"3,771"
5357956,"3,765"
166208,"3,764"
426486,"3,764"
198323,"3,750"
4419969,"3,747"
4551638,"3,743"
6782210,"3,738"
354194,"3,737"
4641262,"3,710"
5083632,"3,705"
877312,"3,696"
426496,"3,695"
163359,"3,692"
9034015,"3,692"
209560,"3,690"
8939247,"3,683"
5339700,"3,678"
196836,"3,667"
8951936,"3,667"
5696394,"3,663"
1250347,"3,654"
2122948,"3,651"
8984722,"3,651"
8876384,"3,650"
110314,"3,643"
444473,"3,643"
1971475,"3,639"
110056,"3,638"
210746,"3,638"
210993,"3,633"
4085001,"3,632"
933541,"3,618"
73817,"3,616"
167172,"3,613"
381676,"3,613"
198725,"3,611"
416700,"3,610"
6782135,"3,597"
8848584,"3,585"
174362,"3,582"
2173795,"3,582"
5687613,"3,581"
5620924,"3,577"
8963901,"3,576"
1474151,"3,572"
202670,"3,569"
5213460,"3,564"
432040,"3,562"
5675482,"3,559"
5578768,"3,556"
446193,"3,553"
75157,"3,543"
8866376,"3,539"
75955,"3,535"
4608870,"3,528"
4570464,"3,523"
1253288,"3,520"
191859,"3,516"
1793185,"3,507"
8935964,"3,497"
69478,"3,493"
6804759,"3,483"
9024446,"3,482"
179419,"3,481"
8853334,"3,467"
189085,"3,465"
8964038,"3,461"
2173791,"3,451"
917977,"3,447"
6804760,"3,446"
5218900,"3,444"
167161,"3,441"
1963642,"3,438"
192105,"3,437"
112411,"3,431"
5365859,"3,429"
8983432,"3,422"
3296482,"3,420"
110331,"3,412"
6811436,"3,408"
418457,"3,400"
9617324,"3,397"
210744,"3,394"
8964058,"3,394"
180336,"3,392"
2473224,"3,384"
2644605,"3,384"
173736,"3,380"
983157,"3,379"
5576886,"3,377"
110313,"3,375"
3304347,"3,375"
5610783,"3,370"
8941237,"3,368"
983156,"3,368"
170670,"3,366"
2197563,"3,366"
420029,"3,363"
112043,"3,362"
188379,"3,361"
212718,"3,356"
3656244,"3,355"
3295583,"3,353"
164952,"3,337"
204174,"3,323"
5696395,"3,318"
112382,"3,317"
442742,"3,317"
5602498,"3,314"
5693537,"3,310"
73762,"3,306"
66370,"3,305"
1236973,"3,304"
180292,"3,303"
8983328,"3,301"
983140,"3,299"
3928663,"3,297"
933543,"3,297"
2470946,"3,295"
69186,"3,295"
180024,"3,293"
112040,"3,291"
1839124,"3,284"
112412,"3,282"
1660499,"3,263"
8963889,"3,260"
500657,"3,259"
68689,"3,257"
75953,"3,255"
8978934,"3,251"
73928,"3,250"
9022702,"3,250"
111996,"3,242"
193639,"3,240"
1306955,"3,239"
5661270,"3,237"
8866906,"3,233"
9020956,"3,225"
912631,"3,223"
390450,"3,220"
419812,"3,219"
9609523,"3,219"
1606322,"3,214"
3371378,"3,209"
5696400,"3,203"
977068,"3,186"
399956,"3,185"
111471,"3,175"
418360,"3,175"
5654221,"3,165"
5621480,"3,163"
9020933,"3,155"
399719,"3,154"
8981607,"3,152"
428542,"3,145"
418889,"3,144"
6785470,"3,139"
3772470,"3,137"
4641263,"3,133"
8849175,"3,131"
77111,"3,129"
8854214,"3,124"
167162,"3,118"
210747,"3,107"
5654688,"3,106"
5674404,"3,103"
450302,"3,101"
113418,"3,097"
168276,"3,095"
6781823,"3,095"
5654695,"3,094"
400685,"3,093"
8939256,"3,091"
2046105,"3,086"
1638074,"3,081"
1462054,"3,079"
416572,"3,075"
6798163,"3,073"
2514853,"3,069"
180897,"3,067"
1660661,"3,063"
6782315,"3,062"
159231,"3,055"
418359,"3,054"
9026519,"3,053"
171007,"3,051"
1237112,"3,049"
5607763,"3,045"
3232142,"3,043"
918233,"3,043"
8964539,"3,039"
9607304,"3,038"
3301854,"3,036"
5619107,"3,030"
9033658,"3,026"
1834941,"3,025"
392451,"3,020"
167158,"3,017"
5656169,"3,009"
164938,"3,007"
1169092,"3,000"
392154,"2,998"
8849471,"2,997"
3928664,"2,987"
5336415,"2,986"
212676,"2,984"
8963693,"2,984"
1483166,"2,983"
165054,"2,982"
991365,"2,982"
9034864,"2,974"
399954,"2,967"
2691230,"2,966"
1369062,"2,964"
8949664,"2,945"
432030,"2,941"
379726,"2,938"
6811440,"2,938"
8857538,"2,938"
532668,"2,936"
71064,"2,936"
6784531,"2,935"
8849474,"2,933"
5654704,"2,932"
194306,"2,929"
5620920,"2,929"
9614399,"2,928"
1433559,"2,926"
8985801,"2,911"
5689901,"2,910"
416989,"2,908"
203615,"2,907"
3656225,"2,906"
159740,"2,896"
5339716,"2,896"
8851002,"2,895"
69091,"2,882"
2022928,"2,878"
6806664,"2,875"
9020558,"2,873"
5687868,"2,871"
879518,"2,863"
5602410,"2,861"
5654727,"2,857"
73621,"2,857"
8868766,"2,856"
417017,"2,854"
1810476,"2,853"
4839735,"2,853"
392851,"2,850"
432047,"2,850"
9027284,"2,844"
8851805,"2,842"
2046106,"2,835"
3656237,"2,834"
1839117,"2,832"
442660,"2,832"
5140745,"2,829"
110329,"2,827"
180786,"2,827"
8985947,"2,826"
1296065,"2,825"
8866427,"2,824"
1358803,"2,822"
5603029,"2,820"
9604969,"2,820"
9605310,"2,819"
9606784,"2,818"
9022927,"2,817"
196299,"2,815"
211999,"2,815"
2025928,"2,812"
3656243,"2,812"
168325,"2,809"
5689877,"2,808"
8952158,"2,803"
2022854,"2,794"
418885,"2,784"
5693548,"2,784"
77108,"2,777"
1855204,"2,776"
73776,"2,775"
5632681,"2,770"
164843,"2,768"
113510,"2,766"
156587,"2,760"
420092,"2,760"
180746,"2,757"
5654719,"2,756"
164378,"2,751"
2022857,"2,751"
8931987,"2,751"
8852405,"2,749"
390666,"2,748"
113507,"2,746"
5688849,"2,744"
2468052,"2,743"
2022870,"2,740"
5655332,"2,738"
977444,"2,733"
5688890,"2,732"
9649948,"2,728"
70350,"2,727"
159234,"2,723"
5654693,"2,721"
8875513,"2,716"
3781860,"2,712"
9603798,"2,710"
159227,"2,709"
2151209,"2,706"
72143,"2,706"
2644607,"2,705"
9033807,"2,704"
5635851,"2,703"
198693,"2,702"
3311021,"2,702"
3656253,"2,701"
69416,"2,700"
210990,"2,692"
199220,"2,689"
2979096,"2,684"
8853383,"2,679"
5696397,"2,678"
8943723,"2,675"
8939245,"2,672"
9005891,"2,672"
399997,"2,671"
181429,"2,670"
3642279,"2,667"
3656534,"2,667"
159418,"2,666"
77073,"2,666"
5576894,"2,662"
75108,"2,662"
189451,"2,654"
8941284,"2,648"
8850843,"2,647"
4085377,"2,643"
1483191,"2,641"
5210891,"2,641"
3656535,"2,640"
9022534,"2,638"
9028731,"2,636"
5654687,"2,634"
2142816,"2,630"
983147,"2,620"
140834,"2,618"
1296052,"2,612"
5221030,"2,608"
8934903,"2,608"
159782,"2,601"
5638303,"2,601"
381771,"2,598"
77068,"2,598"
2142670,"2,594"
209543,"2,593"
6803529,"2,588"
72160,"2,587"
162699,"2,580"
176033,"2,579"
194002,"2,578"
3134963,"2,577"
446168,"2,575"
162594,"2,574"
9634600,"2,574"
74217,"2,570"
77069,"2,567"
193048,"2,560"
70921,"2,560"
1295596,"2,556"
1614558,"2,556"
9639288,"2,555"
174048,"2,552"
209822,"2,550"
169893,"2,549"
391908,"2,549"
111452,"2,548"
2161517,"2,547"
159230,"2,545"
73863,"2,543"
8866907,"2,543"
9613354,"2,543"
74749,"2,535"
3656532,"2,532"
2660825,"2,531"
5358565,"2,531"
77071,"2,531"
177243,"2,522"
164940,"2,520"
75876,"2,518"
196108,"2,516"
936964,"2,516"
9013507,"2,512"
8866904,"2,509"
2691232,"2,505"
8866652,"2,503"
193368,"2,498"
205021,"2,498"
9027276,"2,496"
5545483,"2,495"
446219,"2,493"
196843,"2,491"
73614,"2,488"
8952289,"2,488"
179409,"2,484"
1839130,"2,484"
2024096,"2,482"
